threads,num_iters,outside_work,n,mcs_ms,pthread_mutex_ms,omp_lock_ms
8,1000,1,53,1.7215,2.5995,42.4365
8,1000,1,89,2.0638,3.6733,45.1459
8,1000,1,101,2.8523,3.9499,45.2504
8,1000,1,503,8.4752,15.8361,48.6047
8,1000,3,53,1.5127,2.9158,43.084
8,1000,3,89,2.0434,3.9844,44.1593
8,1000,3,101,2.9108,4.3517,43.0496
8,1000,3,503,8.1613,14.5995,82.0425
8,1000,5,53,1.8106,3.6655,53.6617
8,1000,5,89,2.2278,4.3861,44.3493
8,1000,5,101,2.4722,4.705,47.2892
8,1000,5,503,9.3016,23.1942,53.8557
8,1000,7,53,1.8671,3.3134,43.794
8,1000,7,89,2.7945,4.1109,45.6914
8,1000,7,101,3.5367,4.5026,47.2965
8,1000,7,503,10.046,15.4174,51.7914
12,1000,1,53,3.6871,4.2437,65.5452
12,1000,1,89,5.0121,6.2619,71.636
12,1000,1,101,3.4828,6.2556,65.3198
12,1000,1,503,13.7857,23.4934,70.167
12,1000,3,53,7.9064,4.6005,64.3814
12,1000,3,89,4.219,7.0991,64.1218
12,1000,3,101,3.2592,7.2286,64.211
12,1000,3,503,13.4189,20.5403,73.3391
12,1000,5,53,3.0105,4.3896,63.5336
12,1000,5,89,4.0706,6.3509,61.5694
12,1000,5,101,3.5064,6.9785,61.2457
12,1000,5,503,16.0563,34.4418,73.4574
12,1000,7,53,3.299,5.4414,61.8888
12,1000,7,89,3.7277,6.5101,63.3816
12,1000,7,101,3.8018,7.0298,62.9875
12,1000,7,503,16.5213,22.6052,76.3616
16,1000,1,53,6.3895,5.875,84.1041
16,1000,1,89,4.7152,8.4805,83.7807
16,1000,1,101,4.491,9.8289,82.6696
16,1000,1,503,19.5956,32.4397,90.7576
16,1000,3,53,4.177,6.8361,81.0221
16,1000,3,89,4.591,8.5542,83.9479
16,1000,3,101,11.3407,9.0001,85.6994
16,1000,3,503,21.9785,29.7605,93.4569
16,1000,5,53,4.3369,6.9212,84.1749
16,1000,5,89,4.4803,9.6625,82.3396
16,1000,5,101,10.648,9.9437,83.7824
16,1000,5,503,21.6806,57.9566,93.918
16,1000,7,53,5.5974,5.9507,82.1584
16,1000,7,89,5.1223,10.068,82.8967
16,1000,7,101,6.7521,10.0389,84.6164
16,1000,7,503,22.5752,32.4308,99.5369
20,1000,1,53,5.6282,6.9652,106.38
20,1000,1,89,4.9102,10.6088,105.005
20,1000,1,101,8.5044,11.1918,102.5
20,1000,1,503,66.3602,36.8311,109.615
20,1000,3,53,8.2526,8.0893,105.46
20,1000,3,89,5.714,10.5913,109.278
20,1000,3,101,5.93,10.8794,106.885
20,1000,3,503,27.7636,38.106,118.043
20,1000,5,53,5.5751,7.8271,108.637
20,1000,5,89,8.6116,11.1908,103.018
20,1000,5,101,14.3376,10.8342,105.764
20,1000,5,503,32.1534,75.6993,112.875
20,1000,7,53,9.6258,6.7542,106.176
20,1000,7,89,5.8821,10.5064,109.562
20,1000,7,101,8.5605,14.2969,147.62
20,1000,7,503,34.9151,44,126.007
