threads,num_iters,outside_work,n,tas_ms,tas_backoff_ms,pthread_mutex_ms,omp_lock_ms
2,1000,7,10007,109.848,109.818,107.004,108.67
2,1000,7,50021,588.968,564.917,551.443,543.552
2,1000,7,100003,1128.48,1160.15,1131.68,1134.13
2,1000,9,10007,154.238,136.671,135.936,135.262
2,1000,9,50021,727.216,688.76,706.774,693.38
2,1000,9,100003,1466.04,1424.2,1458.95,1438.37
4,1000,7,10007,131.638,133.508,118.798,119.248
4,1000,7,50021,693.735,656.044,614.558,603.99
4,1000,7,100003,1310.02,1382.97,1401.4,1416.27
4,1000,9,10007,193.803,198.296,175.185,174.682
4,1000,9,50021,958.48,986.01,993.898,1002.94
4,1000,9,100003,2031.98,2000.11,1775.47,2704.42
12,1000,7,10007,575.082,370.728,381.739,476.938
12,1000,7,50021,1888.88,1838.9,1426.9,1437.11
12,1000,7,100003,3475.57,3602.05,2776.36,2730.45
12,1000,9,10007,367.671,389.437,369.727,384.17
12,1000,9,50021,1885.11,1850.29,1545.33,1568.37
12,1000,9,100003,3784.16,3821.87,2989.05,3061.51
16,1000,7,10007,504.703,521.128,446.437,464.813
16,1000,7,50021,2419.06,2483.11,1876.21,1945.57
16,1000,7,100003,4804.43,4949.11,3655.29,3695.58
16,1000,9,10007,488.606,539.538,509.321,504.239
16,1000,9,50021,2700.74,2682.54,2056.73,2046.8
16,1000,9,100003,5153.3,5310.12,4014.37,4042.07
