threads,num_iters,outside_work,n,ttas_ms,ttas_backoff_ms,pthread_mutex_ms,omp_lock_ms
8,1000,0,53,1.8001,1.3847,1.7198,42.4612
8,1000,0,89,1.6907,1.7361,2.2347,40.0963
8,1000,0,101,2.2664,1.89,2.9447,40.6828
8,1000,0,503,6.8324,6.993,8.3542,45.0527
8,1000,0,1009,12.6582,12.409,15.4098,50.9043
12,1000,0,53,3.9416,2.3595,2.8351,61.5107
12,1000,0,89,3.5445,3.1508,4.4061,62.8281
12,1000,0,101,4.3539,2.4348,4.3945,64.5522
12,1000,0,503,11.2629,10.0983,13.7846,73.3708
12,1000,0,1009,21.6419,21.6769,21.4901,88.7702
16,1000,0,53,3.4991,3.4562,3.649,89.3634
16,1000,0,89,3.4711,2.9475,5.5038,82.3
16,1000,0,101,7.5956,4.5901,6.3911,83.2098
16,1000,0,503,15.3839,13.4796,16.7352,90.4785
16,1000,0,1009,28.1073,28.9907,29.2095,101.355
20,1000,0,53,7.4591,3.3645,4.7973,105.212
20,1000,0,89,6.8095,4.6821,7.6315,104.243
20,1000,0,101,7.7479,6.4256,7.5973,106.223
20,1000,0,503,20.4089,17.3956,21.3001,116.547
20,1000,0,1009,36.0365,36.988,36.6165,126.936
